beta_x/theta_E,beta_y/theta_E,theta1_x/theta_E,theta1_y/theta_E,theta2_x/theta_E,theta2_y/theta_E
1.33676068,-0.28569632,1.8528845,-0.39600379,-0.51612382,0.11030746
1.24949809,-0.24644826,1.78787645,-0.35263682,-0.53837836,0.10618857
1.21280014,-0.29871506,1.75118218,-0.43131962,-0.53838205,0.13260456
1.346123,-0.23578516,1.86605961,-0.32685658,-0.51993661,0.09107142
1.23626918,-0.29229097,1.77102251,-0.41872263,-0.53475334,0.12643166
1.37322801,-0.32897796,1.87706023,-0.44967874,-0.50383222,0.12070078
1.21216971,-0.29203805,1.75171995,-0.42202743,-0.53955024,0.12998939
1.37611992,-0.30993722,1.88185599,-0.42384185,-0.50573607,0.11390463
1.34709403,-0.29896026,1.85960128,-0.41270087,-0.51250726,0.11374061
1.36039813,-0.24994315,1.87603227,-0.34467955,-0.51563415,0.0947364
1.26128954,-0.33302759,1.785002,-0.47130725,-0.52371246,0.13827967
1.30008073,-0.28683844,1.8231277,-0.40223895,-0.52304697,0.11540051
1.33360641,-0.38135096,1.83686191,-0.52525922,-0.5032555,0.14390825
1.33806073,-0.22999562,1.86020804,-0.31974611,-0.52214731,0.08975048
1.34037275,-0.31046786,1.85265421,-0.42912658,-0.51228145,0.11865873
1.3797292,-0.3226015,1.88321178,-0.44032332,-0.50348259,0.11772182
1.30801221,-0.33234078,1.82322884,-0.46324743,-0.51521664,0.13090665
1.20142421,-0.29458971,1.74270229,-0.42731132,-0.54127808,0.13272161
1.21322918,-0.32843742,1.74665826,-0.47284384,-0.53342908,0.14440641
1.23163482,-0.2684478,1.77075413,-0.38595453,-0.53911931,0.11750674
1.35348828,-0.36316116,1.85607641,-0.49801308,-0.50258813,0.13485192
1.26315183,-0.38754953,1.77737413,-0.54531886,-0.5142223,0.15776933
1.33591762,-0.20820207,1.86062636,-0.28997765,-0.52470874,0.08177558
1.3419689,-0.26156499,1.85994203,-0.36252384,-0.51797314,0.10095885
1.23433444,-0.23556299,1.77723382,-0.33917105,-0.54289938,0.10360806
1.34235872,-0.36646398,1.84639084,-0.50406477,-0.50403212,0.13760079
1.29692121,-0.39576339,1.80401831,-0.55050715,-0.5070971,0.15474376
1.2298545,-0.29881549,1.7648806,-0.4288098,-0.53502609,0.12999431
1.25784617,-0.29713621,1.78766844,-0.42229411,-0.52982227,0.1251579
1.32670381,-0.37566546,1.8320303,-0.51875218,-0.50532649,0.14308673
1.22559069,-0.29372627,1.76223025,-0.42233783,-0.53663956,0.12861156
1.33768487,-0.31796162,1.84946622,-0.43960972,-0.51178135,0.1216481
1.30697044,-0.3233969,1.82367698,-0.45125082,-0.51670654,0.12785392
1.28272372,-0.20236471,1.81909726,-0.28698392,-0.53637354,0.08461922
1.2195955,-0.2407996,1.76493089,-0.34847181,-0.54533539,0.10767221
1.29063431,-0.22092058,1.82343786,-0.31212169,-0.53280355,0.0912011
1.29679838,-0.31036105,1.8172646,-0.43492355,-0.52046622,0.1245625
1.34851701,-0.32644134,1.85716527,-0.44957202,-0.50864826,0.12313068
1.2246965,-0.33752588,1.75444157,-0.48352342,-0.52974507,0.14599754
1.23011369,-0.35512955,1.75582909,-0.50690175,-0.5257154,0.15177221
1.22301608,-0.23636329,1.76820008,-0.34172698,-0.545184,0.10536369
1.35321598,-0.30718127,1.86353432,-0.423024,-0.51031834,0.11584273
1.29719128,-0.33883151,1.813416,-0.47367145,-0.51622472,0.13483994
1.3695403,-0.34768325,1.8715149,-0.47511883,-0.50197461,0.12743558
1.29621288,-0.3405252,1.81235822,-0.47612059,-0.51614534,0.13559539
1.29933653,-0.28983381,1.82213157,-0.40645,-0.52279504,0.11661619
1.23580067,-0.30020508,1.76945464,-0.4298422,-0.53365397,0.12963712
1.26548448,-0.26675408,1.79799748,-0.37900359,-0.532513,0.11224951
1.34507729,-0.34278279,1.85208269,-0.47198929,-0.5070054,0.1292065
1.2173803,-0.27430402,1.75855374,-0.39624295,-0.54117343,0.12193893
1.25421135,-0.21482343,1.79533521,-0.30750804,-0.54112387,0.09268461
1.25534393,-0.3855612,1.7712502,-0.54401454,-0.51590627,0.15845334
1.35967624,-0.28394228,1.8716401,-0.3908561,-0.51196386,0.10691382
1.33730841,-0.24091598,1.85847125,-0.33480342,-0.52116285,0.09388744
1.34107894,-0.33987774,1.84921239,-0.46865707,-0.50813344,0.12877933
1.35949592,-0.21986639,1.87831733,-0.30377352,-0.51882141,0.08390712
1.36858231,-0.31751024,1.87474472,-0.4349396,-0.50616242,0.11742936
1.24033831,-0.24906597,1.78027694,-0.35748828,-0.53993863,0.10842231
1.20714438,-0.30965805,1.74486926,-0.44759585,-0.53772488,0.1379378
1.33655974,-0.27295486,1.85426519,-0.37868169,-0.51770545,0.10572683
1.34446313,-0.21869848,1.86643303,-0.30360526,-0.5219699,0.08490677
1.3523672,-0.33931246,1.85855428,-0.46631612,-0.50618707,0.12700366
1.36303163,-0.3224629,1.86956518,-0.44229745,-0.50653355,0.11983455
1.31968862,-0.32913998,1.83322969,-0.45722087,-0.51354107,0.12808089
1.22322515,-0.27396177,1.76326564,-0.39491289,-0.54004049,0.12095112
1.27938508,-0.23672646,1.81276682,-0.33541885,-0.53338174,0.09869239
1.29438398,-0.26060945,1.82188322,-0.3668154,-0.52749924,0.10620595
1.30062287,-0.21696235,1.83176451,-0.30556431,-0.53114164,0.08860196
1.37422787,-0.29755779,1.88182778,-0.40746701,-0.50759991,0.10990922
1.33829145,-0.24716224,1.85858782,-0.34325313,-0.52029637,0.09609089
1.27084594,-0.24250018,1.80530762,-0.34448505,-0.53446168,0.10198487
1.25015873,-0.30202641,1.78075103,-0.43021245,-0.53059229,0.12818603
1.27051472,-0.31509804,1.79526075,-0.44523935,-0.52474604,0.13014131
1.22067808,-0.35311711,1.7484485,-0.50579026,-0.52777042,0.15267315
1.23045248,-0.3066637,1.76414797,-0.43967577,-0.53369549,0.13301207
1.2594765,-0.27025083,1.79273216,-0.3846736,-0.53325567,0.11442277
1.38895433,-0.26205689,1.89777471,-0.35805708,-0.50882038,0.09600019
1.29526619,-0.32562709,1.8138169,-0.45598961,-0.51855071,0.13036252
1.326297,-0.29847014,1.84279418,-0.41470277,-0.51649718,0.11623263
1.35739288,-0.27411155,1.87094097,-0.37781731,-0.51354809,0.10370576
1.25735908,-0.28763013,1.78864087,-0.40916474,-0.53128179,0.12153461
1.31165249,-0.24038276,1.83803293,-0.33685098,-0.52638044,0.09646822
1.29426118,-0.36452523,1.80699385,-0.50893503,-0.51273268,0.1444098
1.28281721,-0.2351872,1.81566828,-0.33287824,-0.53285107,0.09769104
1.33047671,-0.36831568,1.83629008,-0.50833993,-0.50581338,0.14002425
1.24697385,-0.2168579,1.78941146,-0.31119178,-0.54243761,0.09433388
1.30439765,-0.26783004,1.82902041,-0.37555006,-0.52462276,0.10772002
1.21701437,-0.30282118,1.75392319,-0.43641644,-0.53690882,0.13359527
1.36747,-0.25189605,1.88151433,-0.34658605,-0.51404433,0.09469
1.22641795,-0.32686946,1.75763095,-0.46845032,-0.531213,0.14158086
1.22475365,-0.26974363,1.76508772,-0.38874852,-0.54033407,0.11900489
1.3703358,-0.32918391,1.87466237,-0.45033391,-0.50432657,0.12115001
1.27662782,-0.31748272,1.79986494,-0.4476058,-0.52323712,0.13012308
1.36910729,-0.24132097,1.88392086,-0.3320628,-0.51481356,0.09074183
1.24155151,-0.33360155,1.76882884,-0.47527955,-0.52727733,0.141678
1.24967841,-0.32625071,1.77662762,-0.46382015,-0.52694921,0.13756944
1.22424424,-0.30837467,1.75886992,-0.44304144,-0.53462569,0.13466677
1.30967439,-0.2166106,1.83897627,-0.30415328,-0.52930188,0.08754268
1.35599446,-0.3204892,1.86407242,-0.44057339,-0.50807796,0.12008419
1.35313061,-0.34273515,1.85870421,-0.47079215,-0.5055736,0.128057
1.33531095,-0.36952483,1.84010167,-0.50921717,-0.50479073,0.13969234
1.33358958,-0.25849623,1.85355671,-0.35928401,-0.51996713,0.10078779
1.27785568,-0.20710903,1.81478187,-0.29413158,-0.53692619,0.08702255
1.25631994,-0.27957259,1.78893585,-0.39809719,-0.53261591,0.11852459
1.34914602,-0.27020451,1.86473446,-0.37346562,-0.51558844,0.10326111
1.23187229,-0.27700894,1.76973225,-0.39795655,-0.53785995,0.12094761
1.2616748,-0.26507083,1.79517503,-0.37715625,-0.53350023,0.11208542
1.35006511,-0.38180099,1.85045361,-0.52331182,-0.5003885,0.14151083
1.33805415,-0.2752479,1.85519718,-0.38162815,-0.51714304,0.10638025
1.34949214,-0.37236502,1.85140735,-0.51085836,-0.50191522,0.13849334
1.28452425,-0.33833177,1.80313533,-0.47492912,-0.51861107,0.13659734
1.23652027,-0.27632477,1.77354459,-0.39633342,-0.53702431,0.12000864
1.31487446,-0.21266504,1.84349432,-0.29816291,-0.52861986,0.08549787
1.30876307,-0.29174555,1.82948817,-0.40782403,-0.5207251,0.11607848
1.35413737,-0.36712859,1.85603047,-0.50319995,-0.50189311,0.13607136
1.28405813,-0.32450527,1.80485698,-0.45612078,-0.52079884,0.13161551
1.21512846,-0.31677324,1.75014861,-0.45624826,-0.53502015,0.13947502
1.29003904,-0.36062282,1.80414388,-0.5043378,-0.51410484,0.14371498
1.29032879,-0.32798781,1.80944368,-0.45994128,-0.51911489,0.13195347
1.21806428,-0.33053802,1.75023007,-0.47494833,-0.53216579,0.1444103
1.33710117,-0.3231476,1.84828572,-0.44668953,-0.51118455,0.12354193
1.28257548,-0.38588419,1.79378202,-0.53968919,-0.51120654,0.153805
1.26408291,-0.28487572,1.79442835,-0.40439521,-0.53034544,0.11951949
1.29319148,-0.21934444,1.82562983,-0.30965388,-0.53243835,0.09030944
1.24659562,-0.31494175,1.77590442,-0.4486671,-0.5293088,0.13372535
1.31162054,-0.39411857,1.81653189,-0.54583542,-0.50491135,0.15171685
1.27125252,-0.2701285,1.80216788,-0.38294272,-0.53091536,0.11281423
1.27248073,-0.29092703,1.8003395,-0.41161129,-0.52785877,0.12068425
